student_id,week,true_risk,lms_logins,attendance_pct,sentiment_score,submission_delay,forum_posts,video_completion,login_slope,attendance_drop,delay_variance,sentiment_decline,engagement_volatility,sudden_drop,behavioral_drift_score,risk_label,dropout_prob
23,8,low,15,0.72,0.33,1,3,0.63,-0.595,0.14,0.214,0.19,0.135,0,0.097,0,0.12
24,1,high,6,0.55,-0.04,4,5,0.65,0,0,0,0,,0,0,2,0.11
24,2,high,5,0.46,-0.18,3,5,0.71,-1,0.09,0.5,0.14,0.129,0,0.089,2,0.15
24,3,high,3,0.31,-0.28,6,2,0.57,-1.5,0.24,2.333,0.24,0.327,0,0.174,2,0.32
24,4,high,6,0.2,-0.48,4,2,0.64,-0.2,0.35,1.583,0.44,0.283,0,0.186,2,0.32
24,5,high,3,0.1,-0.55,4,2,0.52,-0.5,0.45,1.2,0.51,0.33,1,0.241,2,0.37
24,6,high,3,0,-0.75,6,2,0.25,-0.514,0.55,1.5,0.71,0.347,0,0.302,2,0.5
24,7,high,2,0,-0.74,2,2,0.18,-0.571,0.55,2.143,0.7,0.408,0,0.303,2,0.38
24,8,high,0,0,-0.94,3,1,0.05,-0.714,0.55,2,0.9,0.591,1,0.334,2,0.44
25,1,medium,9,0.47,0.37,3,3,0.92,0,0,0,0,,0,0,1,0.09
25,2,medium,12,0.4,0.32,3,7,0.78,3,0.07,0,0.05,0.202,0,0.031,1,0.12
25,3,medium,11,0.43,0.32,3,5,0.82,1,0.04,0,0.05,0.143,0,0.02,1,0.11
25,4,medium,11,0.36,0.14,3,3,0.57,0.5,0.11,0,0.23,0.117,0,0.067,1,0.16
25,5,medium,6,0.23,0.21,2,5,0.38,-0.7,0.24,0.2,0.16,0.244,0,0.132,1,0.18
25,6,medium,5,0.21,0.11,1,5,0.4,-1.086,0.26,0.7,0.26,0.322,0,0.167,1,0.18
25,7,medium,7,0.17,0.07,3,3,0.33,-0.893,0.3,0.619,0.3,0.316,0,0.178,1,0.26
25,8,medium,8,0.09,-0.01,2,4,0.22,-0.655,0.38,0.571,0.38,0.297,0,0.207,1,0.27
26,1,high,3,0.35,-0.4,2,2,0.82,0,0,0,0,,0,0,2,0.06
26,2,high,2,0.17,-0.65,4,6,0.5,-1,0.18,2,0.25,0.283,0,0.134,2,0.23
26,3,high,1,0.03,-0.77,6,4,0.39,-1,0.32,4,0.37,0.5,1,0.198,2,0.36
26,4,high,0,0,-0.76,6,3,0.57,-1,0.35,3.667,0.36,0.861,1,0.207,2,0.37
26,5,high,0,0,-0.88,2,5,0.33,-0.8,0.35,4,0.48,1.087,0,0.214,2,0.27
26,6,high,2,0,-1,2,3,0.33,-0.343,0.35,3.867,0.6,0.908,0,0.211,2,0.29
26,7,high,0,0,-1,4,4,0,-0.357,0.35,3.238,0.6,1.063,1,0.212,2,0.34
26,8,high,2,0,-1,4,0,0,-0.167,0.35,2.786,0.6,0.932,0,0.204,2,0.34
27,1,low,16,0.79,0.76,1,6,0.85,0,0,0,0,,0,0,0,0.03
27,2,low,11,0.78,0.76,1,5,0.58,-5,0.01,0,0,0.262,0,0.203,0,0.09
27,3,low,15,0.78,0.74,1,3,0.73,-0.5,0.01,0,0.02,0.189,0,0.026,0,0.04
27,4,low,12,0.71,0.82,1,6,0.58,-0.8,0.08,0,-0.06,0.176,0,0.06,0,0.07
27,5,low,13,0.68,0.83,1,4,0.59,-0.5,0.11,0,-0.07,0.155,0,0.058,0,0.08
27,6,low,13,0.65,0.77,0,7,0.75,-0.343,0.14,0.167,-0.01,0.14,0,0.063,0,0.06
27,7,low,12,0.71,0.83,0,6,0.66,-0.357,0.08,0.238,-0.07,0.135,0,0.042,0,0.04
27,8,low,12,0.61,0.77,0,6,0.47,-0.333,0.18,0.268,-0.01,0.13,0,0.076,0,0.08
28,1,low,9,0.79,0.3,0,4,0.78,0,0,0,0,,0,0,0,0
28,2,low,11,0.81,0.12,1,7,0.67,2,-0.02,0.5,0.18,0.141,0,0.022,0,0.05
28,3,low,9,0.75,0.25,1,5,0.85,0,0.04,0.333,0.05,0.119,0,0.02,0,0.05
28,4,low,11,0.77,0.12,0,6,0.93,0.4,0.02,0.333,0.18,0.115,0,0.03,0,0.03
28,5,low,7,0.72,0.17,1,6,0.6,-0.4,0.07,0.3,0.13,0.178,0,0.057,0,0.08
28,6,low,7,0.73,0.07,0,5,0.69,-0.571,0.06,0.3,0.23,0.199,0,0.073,0,0.06
28,7,low,9,0.66,0.15,0,4,0.82,-0.357,0.13,0.286,0.15,0.181,0,0.079,0,0.08
28,8,low,9,0.62,0.12,1,6,0.82,-0.238,0.17,0.286,0.18,0.168,0,0.092,0,0.13
29,1,high,2,0.53,-0.52,2,7,0.69,0,0,0,0,,0,0,2,0.06
29,2,high,4,0.36,-0.57,6,3,0.8,2,0.17,8,0.05,0.471,0,0.066,2,0.25
29,3,high,3,0.33,-0.78,6,2,0.63,0.5,0.2,5.333,0.26,0.333,0,0.102,2,0.29
29,4,high,1,0.16,-0.81,4,5,0.54,-0.4,0.37,3.667,0.29,0.516,1,0.182,2,0.31
29,5,high,3,0.07,-1,4,0,0.22,-0.1,0.46,2.8,0.48,0.439,0,0.225,2,0.37
29,6,high,0,0,-1,5,2,0.14,-0.429,0.53,2.3,0.48,0.679,1,0.263,2,0.43
29,7,high,0,0,-1,2,0,0.02,-0.5,0.53,2.81,0.48,0.847,0,0.265,2,0.34
29,8,high,0,0,-1,3,3,0,-0.488,0.53,2.571,0.48,0.983,0,0.265,2,0.37
30,1,medium,6,0.71,-0.15,3,4,0.61,0,0,0,0,,0,0,1,0.09
30,2,medium,2,0.64,-0.23,2,5,0.89,-4,0.07,0.5,0.08,0.707,1,0.194,1,0.14
30,3,medium,3,0.64,-0.24,3,4,0.67,-1.5,0.07,0.333,0.09,0.568,0,0.096,1,0.14
30,4,medium,4,0.61,-0.35,2,7,0.6,-0.5,0.1,0.333,0.2,0.455,0,0.08,1,0.13
30,5,medium,3,0.46,-0.48,2,3,0.65,-0.4,0.25,0.3,0.33,0.421,0,0.145,1,0.21
30,6,medium,4,0.42,-0.54,1,3,0.39,-0.171,0.29,0.567,0.39,0.373,0,0.157,1,0.2
30,7,medium,4,0.41,-0.46,1,3,0.3,-0.071,0.3,0.667,0.31,0.337,0,0.147,1,0.19
30,8,medium,1,0.34,-0.63,1,2,0.44,-0.274,0.37,0.696,0.48,0.446,1,0.2,1,0.25
31,1,low,8,0.84,0.47,0,3,0.9,0,0,0,0,,0,0,0,0
31,2,low,10,0.8,0.56,1,5,0.78,2,0.04,0.5,-0.09,0.157,0,0.014,0,0.04
31,3,low,8,0.8,0.51,1,3,0.85,0,0.04,0.333,-0.04,0.133,0,0.014,0,0.04
31,4,low,10,0.78,0.55,1,3,0.94,0.4,0.06,0.25,-0.08,0.128,0,0.021,0,0.05
31,5,low,8,0.77,0.4,0,3,0.77,0,0.07,0.3,0.07,0.124,0,0.033,0,0.04
31,6,low,7,0.67,0.48,1,7,0.57,-0.257,0.17,0.267,-0.01,0.144,0,0.07,0,0.1
31,7,low,9,0.67,0.42,0,6,0.51,-0.107,0.17,0.286,0.05,0.132,0,0.07,0,0.08
31,8,low,6,0.64,0.47,0,7,0.67,-0.286,0.2,0.286,0,0.168,0,0.081,0,0.08
32,1,low,7,0.82,0.67,0,6,0.73,0,0,0,0,,0,0,0,0
32,2,low,9,0.72,0.8,0,4,0.93,2,0.1,0,-0.13,0.177,0,0.035,0,0.04
32,3,low,7,0.73,0.72,0,2,0.74,0,0.09,0,-0.05,0.151,0,0.032,0,0.04
32,4,low,8,0.76,0.61,1,5,0.69,0.1,0.06,0.25,0.06,0.124,0,0.028,0,0.06
32,5,low,8,0.72,0.67,0,2,0.86,0.1,0.1,0.2,0,0.107,0,0.035,0,0.04
32,6,low,9,0.67,0.69,1,5,0.72,0.229,0.15,0.267,-0.02,0.112,0,0.052,0,0.09
