student_id,week,true_risk,lms_logins,attendance_pct,sentiment_score,submission_delay,forum_posts,video_completion,login_slope,attendance_drop,delay_variance,sentiment_decline,engagement_volatility,sudden_drop,behavioral_drift_score,risk_label,dropout_prob,cluster,cluster_label
13,8,high,2,0.0,-0.88,6,3,0.01,-0.357,0.27,1.696,0.77,0.566,0,0.205,2,0.39,0,Emotional Distress
14,1,low,10,0.85,0.6,1,5,0.74,0.0,0.0,0.0,0.0,,0,0.0,0,0.03,1,Chronic Disengagement
14,2,low,9,0.9,0.55,1,3,0.82,-1.0,-0.05,0.0,0.05,0.074,0,0.046,0,0.03,1,Chronic Disengagement
14,3,low,9,0.8,0.46,1,3,0.63,-0.5,0.05,0.0,0.14,0.062,0,0.055,0,0.07,1,Chronic Disengagement
14,4,low,11,0.83,0.51,1,3,0.9,0.3,0.02,0.0,0.09,0.098,0,0.018,0,0.05,1,Chronic Disengagement
14,5,low,7,0.8,0.53,0,3,0.84,-0.4,0.05,0.2,0.07,0.161,0,0.042,0,0.03,1,Chronic Disengagement
14,6,low,7,0.8,0.47,0,6,0.5,-0.543,0.05,0.267,0.13,0.181,0,0.055,0,0.04,1,Chronic Disengagement
14,7,low,9,0.79,0.5,0,5,0.56,-0.321,0.06,0.286,0.1,0.165,0,0.046,0,0.04,1,Chronic Disengagement
14,8,low,7,0.77,0.43,1,6,0.48,-0.369,0.08,0.268,0.17,0.175,0,0.064,0,0.09,1,Chronic Disengagement
15,1,low,10,0.93,0.84,1,7,0.81,0.0,0.0,0.0,0.0,,0,0.0,0,0.03,1,Chronic Disengagement
15,2,low,7,0.93,0.83,0,2,0.92,-3.0,0.0,0.5,0.01,0.25,0,0.121,0,0.04,1,Chronic Disengagement
15,3,low,8,0.89,0.82,0,5,0.75,-1.0,0.04,0.333,0.02,0.183,0,0.057,0,0.03,1,Chronic Disengagement
15,4,low,8,0.9,0.86,0,5,0.75,-0.5,0.03,0.25,-0.02,0.153,0,0.031,0,0.02,1,Chronic Disengagement
15,5,low,8,0.85,0.85,1,4,0.67,-0.3,0.08,0.3,-0.01,0.134,0,0.04,0,0.06,1,Chronic Disengagement
15,6,low,11,0.81,0.85,1,4,0.64,0.229,0.12,0.3,-0.01,0.174,0,0.042,0,0.08,1,Chronic Disengagement
15,7,low,10,0.79,0.88,0,7,0.57,0.286,0.14,0.286,-0.04,0.165,0,0.049,0,0.06,1,Chronic Disengagement
15,8,low,9,0.82,0.69,1,2,0.49,0.202,0.11,0.286,0.15,0.153,0,0.057,0,0.09,1,Chronic Disengagement
16,1,medium,10,0.72,0.48,3,7,0.99,0.0,0.0,0.0,0.0,,0,0.0,1,0.09,1,Chronic Disengagement
16,2,medium,10,0.68,0.38,3,3,0.65,0.0,0.04,0.0,0.1,0.0,0,0.026,1,0.12,1,Chronic Disengagement
16,3,medium,10,0.56,0.37,3,5,0.68,-0.0,0.16,0.0,0.11,0.0,0,0.07,1,0.17,1,Chronic Disengagement
16,4,medium,7,0.53,0.26,2,7,0.65,-0.9,0.19,0.25,0.22,0.162,0,0.13,1,0.18,3,Chronic Disengagement
16,5,medium,8,0.51,0.12,3,1,0.51,-0.7,0.21,0.2,0.36,0.157,0,0.146,1,0.23,3,Chronic Disengagement
16,6,medium,6,0.41,0.11,2,5,0.57,-0.829,0.31,0.267,0.37,0.207,0,0.188,1,0.24,3,Chronic Disengagement
16,7,medium,8,0.32,0.07,1,1,0.48,-0.571,0.4,0.619,0.41,0.192,0,0.214,1,0.25,3,Chronic Disengagement
16,8,medium,6,0.27,0.06,2,3,0.57,-0.583,0.45,0.554,0.42,0.213,0,0.233,1,0.3,3,Chronic Disengagement
17,1,low,15,0.95,0.41,1,5,0.94,0.0,0.0,0.0,0.0,,0,0.0,0,0.03,1,Chronic Disengagement
17,2,low,14,1.0,0.28,1,4,0.65,-1.0,-0.05,0.0,0.13,0.049,0,0.056,0,0.04,1,Chronic Disengagement
17,3,low,16,0.93,0.35,1,5,0.69,0.5,0.02,0.0,0.06,0.067,0,0.014,0,0.04,1,Chronic Disengagement
17,4,low,13,0.93,0.37,0,7,0.9,-0.4,0.02,0.25,0.04,0.089,0,0.028,0,0.02,1,Chronic Disengagement
17,5,low,15,0.9,0.33,0,2,0.61,-0.1,0.05,0.3,0.08,0.078,0,0.031,0,0.03,1,Chronic Disengagement
17,6,low,11,0.89,0.27,0,4,0.72,-0.571,0.06,0.3,0.14,0.128,0,0.061,0,0.05,1,Chronic Disengagement
17,7,low,13,0.89,0.21,1,5,0.8,-0.464,0.06,0.286,0.2,0.121,0,0.065,0,0.09,1,Chronic Disengagement
17,8,low,14,0.86,0.27,0,5,0.86,-0.298,0.09,0.286,0.14,0.112,0,0.061,0,0.06,1,Chronic Disengagement
18,1,high,6,0.31,-0.13,4,3,0.74,0.0,0.0,0.0,0.0,,0,0.0,2,0.11,1,Chronic Disengagement
18,2,high,6,0.14,-0.23,5,6,0.7,0.0,0.17,0.5,0.1,0.0,0,0.072,2,0.23,1,Chronic Disengagement
18,3,high,5,0.03,-0.38,3,3,0.62,-0.5,0.28,1.0,0.25,0.102,0,0.149,2,0.24,3,Chronic Disengagement
18,4,high,3,0.0,-0.5,4,5,0.57,-1.0,0.31,0.667,0.37,0.283,0,0.195,2,0.3,3,Chronic Disengagement
18,5,high,1,0.0,-0.72,3,5,0.37,-1.3,0.31,0.7,0.59,0.516,1,0.234,2,0.31,2,Sudden Drop-off
18,6,high,1,0.0,-0.78,2,0,0.01,-1.2,0.31,1.1,0.65,0.638,0,0.238,2,0.29,0,Emotional Distress
18,7,high,2,0.0,-0.98,5,3,0.25,-0.929,0.31,1.238,0.85,0.649,0,0.252,2,0.4,0,Emotional Distress
18,8,high,0,0.0,-1.0,2,3,0.0,-0.905,0.31,1.429,0.87,0.797,1,0.253,2,0.31,2,Sudden Drop-off
19,1,low,18,1.0,0.63,1,2,0.73,0.0,0.0,0.0,0.0,,0,0.0,0,0.03,1,Chronic Disengagement
19,2,low,15,0.97,0.52,0,6,0.71,-3.0,0.03,0.5,0.11,0.129,0,0.144,0,0.06,1,Chronic Disengagement
19,3,low,16,0.97,0.54,0,5,0.77,-1.0,0.03,0.333,0.09,0.094,0,0.062,0,0.04,1,Chronic Disengagement
19,4,low,15,0.96,0.49,0,3,0.91,-0.8,0.04,0.25,0.14,0.088,0,0.064,0,0.05,1,Chronic Disengagement
19,5,low,14,0.85,0.56,1,2,0.72,-0.8,0.15,0.3,0.07,0.097,0,0.093,0,0.11,1,Chronic Disengagement
19,6,low,16,0.92,0.43,0,4,0.75,-0.4,0.08,0.267,0.2,0.087,0,0.069,0,0.06,1,Chronic Disengagement
19,7,low,15,0.83,0.44,0,5,0.66,-0.321,0.17,0.238,0.19,0.082,0,0.096,0,0.1,1,Chronic Disengagement
19,8,low,14,0.83,0.34,0,2,0.58,-0.345,0.17,0.214,0.29,0.085,0,0.11,0,0.11,3,Chronic Disengagement
20,1,low,16,0.87,0.82,1,4,0.63,0.0,0.0,0.0,0.0,,0,0.0,0,0.03,1,Chronic Disengagement
20,2,low,13,0.83,0.82,1,2,0.74,-3.0,0.04,0.0,0.0,0.146,0,0.134,0,0.08,1,Chronic Disengagement
20,3,low,13,0.78,0.74,0,4,0.71,-1.5,0.09,0.333,0.08,0.124,0,0.102,0,0.07,1,Chronic Disengagement
20,4,low,12,0.84,0.79,0,5,0.88,-1.2,0.03,0.333,0.03,0.128,0,0.062,0,0.03,1,Chronic Disengagement
20,5,low,14,0.77,0.77,0,4,0.72,-0.5,0.1,0.3,0.05,0.112,0,0.061,0,0.05,1,Chronic Disengagement
20,6,low,10,0.79,0.68,0,5,0.6,-0.8,0.08,0.267,0.14,0.154,0,0.077,0,0.06,1,Chronic Disengagement
20,7,low,11,0.77,0.82,1,7,0.81,-0.714,0.1,0.286,0.0,0.155,0,0.064,0,0.08,1,Chronic Disengagement
20,8,low,13,0.76,0.63,1,3,0.47,-0.452,0.11,0.286,0.19,0.144,0,0.08,0,0.1,1,Chronic Disengagement
21,1,low,14,0.97,0.28,1,2,0.93,0.0,0.0,0.0,0.0,,0,0.0,0,0.03,1,Chronic Disengagement
21,2,low,14,0.93,0.34,0,5,0.91,0.0,0.04,0.5,-0.06,0.0,0,0.014,0,0.02,1,Chronic Disengagement
21,3,low,15,0.91,0.27,1,6,0.68,0.5,0.06,0.333,0.01,0.04,0,0.022,0,0.05,1,Chronic Disengagement
21,4,low,14,0.95,0.29,0,3,0.77,0.1,0.02,0.333,-0.01,0.035,0,0.007,0,0.01,1,Chronic Disengagement
21,5,low,12,0.92,0.28,0,3,0.53,-0.4,0.05,0.3,0.0,0.079,0,0.034,0,0.03,1,Chronic Disengagement
21,6,low,10,0.87,0.22,0,2,0.56,-0.771,0.1,0.267,0.06,0.139,0,0.073,0,0.06,1,Chronic Disengagement
21,7,low,12,0.83,0.1,0,6,0.76,-0.607,0.14,0.238,0.18,0.133,0,0.096,0,0.09,1,Chronic Disengagement
21,8,low,14,0.77,0.24,0,3,0.69,-0.321,0.2,0.214,0.04,0.125,0,0.088,0,0.09,1,Chronic Disengagement
22,1,low,9,0.82,0.5,0,4,0.96,0.0,0.0,0.0,0.0,,0,0.0,0,0.0,1,Chronic Disengagement
22,2,low,7,0.84,0.6,0,6,0.65,-2.0,-0.02,0.0,-0.1,0.177,0,0.08,0,0.02,1,Chronic Disengagement
22,3,low,9,0.85,0.54,1,3,0.73,-0.0,-0.03,0.333,-0.04,0.139,0,0.0,0,0.02,1,Chronic Disengagement
22,4,low,6,0.76,0.59,0,6,0.78,-0.7,0.06,0.25,-0.09,0.194,0,0.049,0,0.03,1,Chronic Disengagement
22,5,low,6,0.73,0.59,0,5,0.81,-0.7,0.09,0.2,-0.09,0.205,0,0.059,0,0.04,1,Chronic Disengagement
22,6,low,7,0.8,0.48,1,7,0.55,-0.457,0.02,0.267,0.02,0.186,0,0.028,0,0.04,1,Chronic Disengagement
22,7,low,5,0.71,0.49,0,4,0.82,-0.536,0.11,0.238,0.01,0.218,0,0.061,0,0.05,1,Chronic Disengagement
22,8,low,4,0.71,0.48,1,2,0.77,-0.607,0.11,0.268,0.02,0.267,0,0.065,0,0.08,1,Chronic Disengagement
23,1,low,18,0.86,0.52,0,4,0.93,0.0,0.0,0.0,0.0,,0,0.0,0,0.0,1,Chronic Disengagement
23,2,low,17,0.77,0.6,1,3,0.62,-1.0,0.09,0.5,-0.08,0.04,0,0.071,0,0.08,1,Chronic Disengagement
23,3,low,17,0.76,0.57,0,2,0.94,-0.5,0.1,0.333,-0.05,0.033,0,0.055,0,0.05,1,Chronic Disengagement
23,4,low,13,0.75,0.48,1,4,0.83,-1.5,0.11,0.333,0.04,0.136,0,0.104,0,0.1,1,Chronic Disengagement
23,5,low,16,0.78,0.5,1,7,0.91,-0.8,0.08,0.3,0.02,0.119,0,0.062,0,0.07,1,Chronic Disengagement
23,6,low,13,0.74,0.37,1,2,0.88,-0.914,0.12,0.267,0.15,0.138,0,0.097,0,0.11,1,Chronic Disengagement
23,7,low,13,0.73,0.51,1,6,0.67,-0.857,0.13,0.238,0.01,0.145,0,0.081,0,0.09,1,Chronic Disengagement
23,8,low,15,0.72,0.33,1,3,0.63,-0.595,0.14,0.214,0.19,0.135,0,0.097,0,0.12,1,Chronic Disengagement
24,1,high,6,0.55,-0.04,4,5,0.65,0.0,0.0,0.0,0.0,,0,0.0,2,0.11,1,Chronic Disengagement
24,2,high,5,0.46,-0.18,3,5,0.71,-1.0,0.09,0.5,0.14,0.129,0,0.089,2,0.15,1,Chronic Disengagement
24,3,high,3,0.31,-0.28,6,2,0.57,-1.5,0.24,2.333,0.24,0.327,0,0.174,2,0.32,3,Chronic Disengagement
24,4,high,6,0.2,-0.48,4,2,0.64,-0.2,0.35,1.583,0.44,0.283,0,0.186,2,0.32,3,Chronic Disengagement
24,5,high,3,0.1,-0.55,4,2,0.52,-0.5,0.45,1.2,0.51,0.33,1,0.241,2,0.37,2,Sudden Drop-off
24,6,high,3,0.0,-0.75,6,2,0.25,-0.514,0.55,1.5,0.71,0.347,0,0.302,2,0.5,0,Emotional Distress
24,7,high,2,0.0,-0.74,2,2,0.18,-0.571,0.55,2.143,0.7,0.408,0,0.303,2,0.38,0,Emotional Distress
24,8,high,0,0.0,-0.94,3,1,0.05,-0.714,0.55,2.0,0.9,0.591,1,0.334,2,0.44,2,Sudden Drop-off
25,1,medium,9,0.47,0.37,3,3,0.92,0.0,0.0,0.0,0.0,,0,0.0,1,0.09,1,Chronic Disengagement
25,2,medium,12,0.4,0.32,3,7,0.78,3.0,0.07,0.0,0.05,0.202,0,0.031,1,0.12,1,Chronic Disengagement
25,3,medium,11,0.43,0.32,3,5,0.82,1.0,0.04,0.0,0.05,0.143,0,0.02,1,0.11,1,Chronic Disengagement
25,4,medium,11,0.36,0.14,3,3,0.57,0.5,0.11,0.0,0.23,0.117,0,0.067,1,0.16,1,Chronic Disengagement
25,5,medium,6,0.23,0.21,2,5,0.38,-0.7,0.24,0.2,0.16,0.244,0,0.132,1,0.18,3,Chronic Disengagement
25,6,medium,5,0.21,0.11,1,5,0.4,-1.086,0.26,0.7,0.26,0.322,0,0.167,1,0.18,3,Chronic Disengagement
25,7,medium,7,0.17,0.07,3,3,0.33,-0.893,0.3,0.619,0.3,0.316,0,0.178,1,0.26,3,Chronic Disengagement
